location,lighting,crowd,comment,label
FC Road Pune,5,5,Always busy with shops and restaurants open late very safe at night,safe
Senapati Bapat Marg Pune,4,4,Well lit road with heavy traffic even after 10 PM feels safe,safe
Jangli Maharaj Path Pune,4,3,Decent lighting and some pedestrians around at night,safe
University Road Pune,3,3,Moderate lighting near university area gets quieter after 9 PM,neutral
Ganeshkhind Road Pune,4,4,Busy road with good street lighting near university feels safe,safe
Sambhaji Bridge Pune,3,2,Bridge is okay but the stretch after it gets dark,neutral
ITI Road Aundh Pune,2,2,Poorly lit road very few people after 8 PM avoid if possible,unsafe
Aundh Road Pune,3,3,Mixed lighting some stretches are dark use main road only,neutral
Balewadi High Street Pune,4,4,Commercial area with restaurants open late well lit and busy,safe
North Main Road Aundh Pune,3,3,Okay during evening but gets quieter and darker after 10 PM,neutral
Abhimanshree Society Road Pune,2,1,Very dark residential road almost no one around after 9 PM,unsafe
Gopal Krushna Gokhale Path Pune,4,3,Good lighting near Deccan area feels comfortable at night,safe
Karve Road Pune,4,4,Main road well lit with autos and cabs available throughout night,safe
Deccan College Road Pune,2,2,Dark and isolated stretch near college avoid at night,unsafe
Balewadi Gaon Road Pune,1,1,Completely dark village road no lighting at all very unsafe,unsafe
Sanewadi Lane Aundh Pune,2,1,Narrow dark lane with no street lights avoid completely,unsafe
AIMS Road Aundh Pune,3,3,Near hospital so some activity at night moderate lighting,neutral
Baner Road Pune,4,4,Busy road with shops and eateries open till midnight feels very safe,safe
Lane No 7 Balewadi Pune,2,2,Residential lane with poor lighting deserted after 9 PM,unsafe
Emerald City Road Balewadi Pune,3,2,Some lighting but very few people around at night,neutral
Kumar Classic Path Pune,2,1,Very isolated road with broken street lights avoid at night,unsafe
Chintamani Nagar Aundh Pune,3,3,Residential area moderate lighting some autos available,neutral
Apte Path Pune,4,3,Well lit near Deccan gymkhana area feels safe at night,safe
Shankarao Gaikwad Path Pune,3,2,Moderate lighting but gets quiet after 9 PM be careful,neutral
Patrakar Bhavan Path Pune,4,4,Near busy Senapati Bapat Marg good lighting and footfall,safe
